horse_id	race_id	日付	開催	天気	R	レース名	枠番	馬番	オッズ	人気	騎手	斤量	距離	馬場	馬体重	着順	前走着順	前々走着順	pred	馬名
2022103086	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	1.0	1	52.3	11.0	小林美駒	51.0	芝1200	良	430(-2)	11	5	7	0.0177469421860513	ソレイケギンチャン
2022102878	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	1.0	2	52.4	12.0	戸崎圭太	55.0	芝1200	良	448(+2)	6	3	5	0.0138640298622244	ナンナンプー
2022100620	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	2.0	3	7.4	4.0	横山和生	55.0	芝1200	良	430(-2)	2	3	4	0.1053667954717783	シルフレイ
2022100675	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	2.0	4	3.0	1.0	横山琉人	54.0	芝1200	良	424(-2)	16	2		0.2698376832261842	タケショウブラボー
2022100318	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	3.0	5	247.6	15.0	長浜鴻緒	52.0	芝1200	良	442(-2)	13	17	11	0.0081058416694032	ブルーフラット
2022101426	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	3.0	6	10.3	6.0	菅原明良	56.0	芝1200	良	506(+18)	3	11	10	0.180856295807301	ベルリネッタ
2022104316	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	4.0	7	5.6	3.0	三浦皇成	56.0	芝1200	良	436(+6)	9	2		0.1644578800429203	ユキノエミリオ
2022102173	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	4.0	8	42.7	9.0	横山武史	56.0	芝1200	良	450(+26)	7	6		0.0125385870110651	リケアエスプレッソ
2022106907	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	5.0	9	38.4	8.0	横山典弘	55.0	芝1200	良	406(0)	5	5	3	0.0151788672881988	ペタルブランシュ
2022102962	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	5.0	10	22.0	7.0	丸山元気	56.0	芝1200	良	524(+18)	8	8	6	0.0342912416463215	アンダーザライト
2022107300	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	6.0	11	49.2	10.0	木幡巧也	55.0	芝1200	良	422(-2)	10	12	2	0.0181026762454884	シンガソング
2022101571	202406050803	2024/12/22	中山	晴	3.0	2歳未勝利	6.0	12	246.4	14.0	石神深道	52.0	芝1200	良	440(+10)	14	7		0.0054212185839422	ハッピーダンシング
