index	bet_type	win_umaban	return
152	複勝	['11']	140
152	複勝	['13']	180
152	複勝	['14']	170
154	馬連	['11', '13']	1050
155	ワイド	['11', '13']	400
155	ワイド	['11', '14']	310
155	ワイド	['13', '14']	500
156	馬単	['11', '13']	2020
157	三連複	['11', '13', '14']	1690
158	三連単	['11', '13', '14']	8250
159	単勝	['14']	9510
160	複勝	['14']	1700
160	複勝	['13']	740
160	複勝	['11']	320
162	馬連	['13', '14']	82400
163	ワイド	['13', '14']	13470
163	ワイド	['11', '14']	10150
163	ワイド	['11', '13']	2090
164	馬単	['14', '13']	233230
165	三連複	['11', '13', '14']	172490
166	三連単	['14', '13', '11']	902800
167	単勝	['1']	1410
168	複勝	['1']	430
168	複勝	['2']	250
168	複勝	['6']	210
170	馬連	['1', '2']	4430
171	ワイド	['1', '2']	890
171	ワイド	['1', '6']	1180
171	ワイド	['2', '6']	600
172	馬単	['1', '2']	13930
173	三連複	['1', '2', '6']	8280
174	三連単	['1', '2', '6']	67520
175	単勝	['11']	400
176	複勝	['11']	150
176	複勝	['3']	160
176	複勝	['10']	160
178	馬連	['3', '11']	990
179	ワイド	['3', '11']	420
179	ワイド	['10', '11']	390
179	ワイド	['3', '10']	490
180	馬単	['11', '3']	2030
181	三連複	['3', '10', '11']	1880
182	三連単	['11', '3', '10']	9630
183	単勝	['6']	370
184	複勝	['6']	150
184	複勝	['1']	190
184	複勝	['5']	250
186	馬連	['1', '6']	920
187	ワイド	['1', '6']	420
187	ワイド	['5', '6']	550
187	ワイド	['1', '5']	740
188	馬単	['6', '1']	1790
189	三連複	['1', '5', '6']	2180
190	三連単	['6', '1', '5']	11490
191	単勝	['7']	240
192	複勝	['7']	150
192	複勝	['9']	1230
192	複勝	['4']	290
194	馬連	['7', '9']	7380
195	ワイド	['7', '9']	2700
195	ワイド	['4', '7']	540
195	ワイド	['4', '9']	4960
196	馬単	['7', '9']	10930
197	三連複	['4', '7', '9']	16430
198	三連単	['7', '9', '4']	91560
199	単勝	['8']	220
200	複勝	['8']	180
200	複勝	['9']	1620
200	複勝	['5']	200
202	馬連	['8', '9']	7110
203	ワイド	['8', '9']	1380
203	ワイド	['5', '8']	300
203	ワイド	['5', '9']	4270
204	馬単	['8', '9']	7900
205	三連複	['5', '8', '9']	10120
206	三連単	['8', '9', '5']	48530
207	単勝	['14']	190
208	複勝	['14']	120
208	複勝	['1']	330
208	複勝	['10']	210
210	馬連	['1', '14']	1100
211	ワイド	['1', '14']	480
211	ワイド	['10', '14']	380
211	ワイド	['1', '10']	1890
212	馬単	['14', '1']	1500
213	三連複	['1', '10', '14']	3760
214	三連単	['14', '1', '10']	11890
215	単勝	['13']	630
216	複勝	['13']	240
216	複勝	['4']	380
216	複勝	['6']	300
218	馬連	['4', '13']	5200
219	ワイド	['4', '13']	1220
219	ワイド	['6', '13']	1400
219	ワイド	['4', '6']	2100
220	馬単	['13', '4']	7910
221	三連複	['4', '6', '13']	17200
222	三連単	['13', '4', '6']	85260
223	単勝	['13']	720
224	複勝	['13']	340
224	複勝	['2']	700
224	複勝	['6']	780
226	馬連	['2', '13']	9980
227	ワイド	['2', '13']	2620
227	ワイド	['6', '13']	3030
227	ワイド	['2', '6']	4670
228	馬単	['13', '2']	15930
229	三連複	['2', '6', '13']	61800
230	三連単	['13', '2', '6']	255720
231	単勝	['7']	440
232	複勝	['7']	230
232	複勝	['1']	270
232	複勝	['9']	420
234	馬連	['1', '7']	1290
235	ワイド	['1', '7']	380
235	ワイド	['7', '9']	720
235	ワイド	['1', '9']	900
236	馬単	['7', '1']	2380
237	三連複	['1', '7', '9']	5460
238	三連単	['7', '1', '9']	21960
239	単勝	['2']	2630
240	複勝	['2']	520
240	複勝	['3']	340
240	複勝	['8']	310
242	馬連	['2', '3']	8820
243	ワイド	['2', '3']	2090
243	ワイド	['2', '8']	1480
243	ワイド	['3', '8']	1750
244	馬単	['2', '3']	19720
245	三連複	['2', '3', '8']	25070
246	三連単	['2', '3', '8']	183300
247	単勝	['16']	180
248	複勝	['16']	130
248	複勝	['13']	530
248	複勝	['8']	550
250	馬連	['13', '16']	2290
251	ワイド	['13', '16']	880
251	ワイド	['8', '16']	740
251	ワイド	['8', '13']	4500
252	馬単	['16', '13']	3140
253	三連複	['8', '13', '16']	9870
254	三連単	['16', '13', '8']	34160
255	単勝	['7']	710
256	複勝	['7']	320
256	複勝	['5']	440
257	馬連	['5', '7']	3840
258	ワイド	['5', '7']	650
258	ワイド	['4', '7']	220
258	ワイド	['4', '5']	300
259	馬単	['7', '5']	7300
260	三連複	['4', '5', '7']	1700
261	三連単	['7', '5', '4']	18190
262	単勝	['16']	300
263	複勝	['16']	150
263	複勝	['12']	220
263	複勝	['6']	1650
265	馬連	['12', '16']	950
266	ワイド	['12', '16']	400
266	ワイド	['6', '16']	5590
266	ワイド	['6', '12']	9590
267	馬単	['16', '12']	1520
268	三連複	['6', '12', '16']	26390
269	三連単	['16', '12', '6']	62660
270	単勝	['12']	730
271	複勝	['12']	270
271	複勝	['7']	890
271	複勝	['11']	350
273	馬連	['7', '12']	11190
274	ワイド	['7', '12']	1890
274	ワイド	['11', '12']	1130
274	ワイド	['7', '11']	4380
275	馬単	['12', '7']	15690
276	三連複	['7', '11', '12']	24780
277	三連単	['12', '7', '11']	130760
278	単勝	['11']	1810
279	複勝	['11']	310
279	複勝	['8']	130
279	複勝	['6']	450
281	馬連	['8', '11']	1850
282	ワイド	['8', '11']	620
282	ワイド	['6', '11']	2350
282	ワイド	['6', '8']	770
283	馬単	['11', '8']	5770
284	三連複	['6', '8', '11']	7690
285	三連単	['11', '8', '6']	54360
286	単勝	['11']	510
287	複勝	['11']	130
287	複勝	['16']	130
287	複勝	['14']	120
289	馬連	['11', '16']	920
290	ワイド	['11', '16']	310
290	ワイド	['11', '14']	300
290	ワイド	['14', '16']	270
291	馬単	['11', '16']	2010
292	三連複	['11', '14', '16']	910
293	三連単	['11', '16', '14']	6850
294	単勝	['3']	690
295	複勝	['3']	220
295	複勝	['15']	270
295	複勝	['16']	200
297	馬連	['3', '15']	3240
298	ワイド	['3', '15']	980
298	ワイド	['3', '16']	1080
298	ワイド	['15', '16']	1030
299	馬単	['3', '15']	6150
300	三連複	['3', '15', '16']	6400
301	三連単	['3', '15', '16']	37740
302	単勝	['8']	530
303	複勝	['8']	180
303	複勝	['3']	190
303	複勝	['4']	120
305	馬連	['3', '8']	2280
306	ワイド	['3', '8']	710
306	ワイド	['4', '8']	370
306	ワイド	['3', '4']	410
307	馬単	['8', '3']	3930
308	三連複	['3', '4', '8']	1910
309	三連単	['8', '3', '4']	13170
310	単勝	['8']	120
311	複勝	['8']	100
311	複勝	['1']	100
311	複勝	['7']	120
313	馬連	['1', '8']	200
314	ワイド	['1', '8']	120
314	ワイド	['7', '8']	170
314	ワイド	['1', '7']	290
315	馬単	['8', '1']	270
316	三連複	['1', '7', '8']	340
317	三連単	['8', '1', '7']	680
318	単勝	['9']	420
319	複勝	['9']	130
319	複勝	['7']	250
319	複勝	['3']	110
321	馬連	['7', '9']	3780
322	ワイド	['7', '9']	800
322	ワイド	['3', '9']	170
322	ワイド	['3', '7']	540
323	馬単	['9', '7']	7040
324	三連複	['3', '7', '9']	1720
325	三連単	['9', '7', '3']	16740
326	単勝	['12']	290
327	複勝	['12']	170
327	複勝	['6']	360
327	複勝	['10']	440
329	馬連	['6', '12']	2150
330	ワイド	['6', '12']	910
330	ワイド	['10', '12']	1280
330	ワイド	['6', '10']	3600
331	馬単	['12', '6']	3180
332	三連複	['6', '10', '12']	14600
333	三連単	['12', '6', '10']	50610
334	単勝	['10']	290
335	複勝	['10']	130
335	複勝	['8']	130
335	複勝	['12']	190
337	馬連	['8', '10']	400
338	ワイド	['8', '10']	210
338	ワイド	['10', '12']	450
338	ワイド	['8', '12']	460
339	馬単	['10', '8']	750
340	三連複	['8', '10', '12']	1180
341	三連単	['10', '8', '12']	3750
342	単勝	['7']	500
343	複勝	['7']	130
343	複勝	['2']	180
343	複勝	['4']	110
345	馬連	['2', '7']	1790
346	ワイド	['2', '7']	490
346	ワイド	['4', '7']	200
346	ワイド	['2', '4']	290
347	馬単	['7', '2']	2870
348	三連複	['2', '4', '7']	930
349	三連単	['7', '2', '4']	7440
350	単勝	['7']	250
351	複勝	['7']	120
351	複勝	['5']	170
351	複勝	['10']	210
353	馬連	['5', '7']	770
354	ワイド	['5', '7']	330
354	ワイド	['7', '10']	410
354	ワイド	['5', '10']	970
355	馬単	['7', '5']	1510
356	三連複	['5', '7', '10']	2000
357	三連単	['7', '5', '10']	7530
358	単勝	['15']	810
359	複勝	['15']	320
359	複勝	['14']	650
359	複勝	['12']	1090
361	馬連	['14', '15']	11520
362	ワイド	['14', '15']	3440
362	ワイド	['12', '15']	3930
362	ワイド	['12', '14']	6640
363	馬単	['15', '14']	18870
364	三連複	['12', '14', '15']	115460
365	三連単	['15', '14', '12']	460850
366	単勝	['5']	390
367	複勝	['5']	170
367	複勝	['11']	140
367	複勝	['6']	180
369	馬連	['5', '11']	800
370	ワイド	['5', '11']	340
370	ワイド	['5', '6']	540
370	ワイド	['6', '11']	400
371	馬単	['5', '11']	1630
372	三連複	['5', '6', '11']	1330
373	三連単	['5', '11', '6']	5860
374	単勝	['6']	2650
375	複勝	['6']	420
375	複勝	['7']	110
375	複勝	['2']	190
377	馬連	['6', '7']	2900
378	ワイド	['6', '7']	990
378	ワイド	['2', '6']	2080
378	ワイド	['2', '7']	320
379	馬単	['6', '7']	7580
380	三連複	['2', '6', '7']	5000
381	三連単	['6', '7', '2']	47720
382	単勝	['1']	1140
383	複勝	['1']	360
383	複勝	['13']	330
383	複勝	['14']	240
385	馬連	['1', '13']	4570
386	ワイド	['1', '13']	1990
386	ワイド	['1', '14']	1260
386	ワイド	['13', '14']	1160
387	馬単	['1', '13']	10380
388	三連複	['1', '13', '14']	13130
389	三連単	['1', '13', '14']	102040
390	単勝	['14']	340
391	複勝	['14']	150
391	複勝	['5']	240
391	複勝	['12']	190
393	馬連	['5', '14']	2460
394	ワイド	['5', '14']	710
394	ワイド	['12', '14']	520
394	ワイド	['5', '12']	940
395	馬単	['14', '5']	3790
396	三連複	['5', '12', '14']	4470
397	三連単	['14', '5', '12']	20570
398	単勝	['1']	240
399	複勝	['1']	110
399	複勝	['6']	110
399	複勝	['8']	180
401	馬連	['1', '6']	260
402	ワイド	['1', '6']	150
402	ワイド	['1', '8']	410
402	ワイド	['6', '8']	280
403	馬単	['1', '6']	490
404	三連複	['1', '6', '8']	670
405	三連単	['1', '6', '8']	2990
406	単勝	['6']	180
407	複勝	['6']	120
407	複勝	['7']	240
408	馬連	['6', '7']	550
409	ワイド	['6', '7']	190
409	ワイド	['1', '6']	130
409	ワイド	['1', '7']	270
410	馬単	['6', '7']	760
411	三連複	['1', '6', '7']	340
412	三連単	['6', '7', '1']	1740
413	単勝	['5']	1060
414	複勝	['5']	220
414	複勝	['10']	160
414	複勝	['9']	110
416	馬連	['5', '10']	2620
417	ワイド	['5', '10']	700
417	ワイド	['5', '9']	400
417	ワイド	['9', '10']	210
418	馬単	['5', '10']	6860
419	三連複	['5', '9', '10']	1520
420	三連単	['5', '10', '9']	17340
421	単勝	['11']	4220
422	複勝	['11']	440
422	複勝	['10']	170
422	複勝	['14']	110
424	馬連	['10', '11']	9370
425	ワイド	['10', '11']	2480
425	ワイド	['11', '14']	880
425	ワイド	['10', '14']	310
426	馬単	['11', '10']	33340
427	三連複	['10', '11', '14']	4250
428	三連単	['11', '10', '14']	91340
429	単勝	['2']	280
430	複勝	['2']	120
430	複勝	['4']	170
430	複勝	['9']	140
432	馬連	['2', '4']	960
433	ワイド	['2', '4']	390
433	ワイド	['2', '9']	250
433	ワイド	['4', '9']	430
434	馬単	['2', '4']	1650
435	三連複	['2', '4', '9']	1180
436	三連単	['2', '4', '9']	5430
437	単勝	['4']	760
438	複勝	['4']	200
438	複勝	['3']	110
438	複勝	['5']	130
439	馬連	['3', '4']	670
440	ワイド	['3', '4']	280
440	ワイド	['4', '5']	570
440	ワイド	['3', '5']	180
