	race_id	0	1	2	3
0	202407020101	ワイド	1 - 7 1 - 9 7 - 9	360 610 350	4 9 3
1	202407020101	馬単	1 → 7	1910	7
2	202407020101	三連複	1 - 7 - 9	1490	5
3	202407020101	三連単	1 → 7 → 9	8770	25
0	202402010608	単勝	8	430	3
1	202402010608	複勝	8 1 9	140 130 110	3 2 1
2	202402010608	枠連	1 - 7	770	3
3	202402010608	馬連	1 - 8	1070	3
0	202402010608	ワイド	1 - 8 8 - 9 1 - 9	350 190 210	3 1 2
1	202402010608	馬単	8 → 1	2090	6
2	202402010608	三連複	1 - 8 - 9	690	1
3	202402010608	三連単	8 → 1 → 9	5210	8
0	202406050903	単勝	12	160	1
1	202406050903	複勝	12 4 1	110 160 150	1 3 2
2	202406050903	枠連	2 - 6	490	1
3	202406050903	馬連	4 - 12	530	1
0	202406050903	ワイド	4 - 12 1 - 12 1 - 4	260 270 610	1 2 7
1	202406050903	馬単	12 → 4	820	3
2	202406050903	三連複	1 - 4 - 12	1030	1
3	202406050903	三連単	12 → 4 → 1	3880	7
0	202407030306	単勝	6	2600	9
1	202407030306	複勝	6 16 8	680 360 240	10 6 4
2	202407030306	枠連	3 - 8	7260	28
3	202407030306	馬連	6 - 16	8750	33
0	202407030306	ワイド	6 - 16 6 - 8 8 - 16	2,870 2,820 1,210	39 38 14
1	202407030306	馬単	6 → 16	19760	72
2	202407030306	三連複	6 - 8 - 16	20220	73
3	202407030306	三連単	6 → 16 → 8	164840	566
0	202408050511	単勝	11	330	1
1	202408050511	複勝	11 13 14	140 180 170	1 4 2
2	202408050511	枠連	7 - 8	300	1
3	202408050511	馬連	11 - 13	1050	3
0	202408050511	ワイド	11 - 13 11 - 14 13 - 14	400 310 500	3 1 5
1	202408050511	馬単	11 → 13	2020	4
2	202408050511	三連複	11 - 13 - 14	1690	3
3	202408050511	三連単	11 → 13 → 14	8250	14
0	202408040702	単勝	14	9510	11
1	202408040702	複勝	14 13 11	1,700 740 320	10 8 4
2	202408040702	枠連	7 - 7	43980	32
3	202408040702	馬連	13 - 14	82400	65
0	202408040702	ワイド	13 - 14 11 - 14 11 - 13	13,470 10,150 2,090	62 53 22
1	202408040702	馬単	14 → 13	233230	136
2	202408040702	三連複	11 - 13 - 14	172490	174
3	202408040702	三連単	14 → 13 → 11	902800	872
0	202403010509	単勝	1	1410	4
1	202403010509	複勝	1 2 6	430 250 210	7 3 2
2	202403010509	枠連	1 - 2	5940	18
3	202403010509	馬連	1 - 2	4430	15
0	202403010509	ワイド	1 - 2 1 - 6 2 - 6	890 1,180 600	9 15 5
1	202403010509	馬単	1 → 2	13930	40
2	202403010509	三連複	1 - 2 - 6	8280	27
3	202403010509	三連単	1 → 2 → 6	67520	195
0	202401010402	単勝	11	400	1
1	202401010402	複勝	11 3 10	150 160 160	1 3 2
2	202401010402	枠連	3 - 8	610	1
3	202401010402	馬連	3 - 11	990	1
0	202401010402	ワイド	3 - 11 10 - 11 3 - 10	420 390 490	2 1 3
1	202401010402	馬単	11 → 3	2030	2
2	202401010402	三連複	3 - 10 - 11	1880	1
3	202401010402	三連単	11 → 3 → 10	9630	3
0	202408010109	単勝	6	370	2
1	202408010109	複勝	6 1 5	150 190 250	2 3 5
2	202408010109	枠連	1 - 5	740	2
3	202408010109	馬連	1 - 6	920	2
0	202408010109	ワイド	1 - 6 5 - 6 1 - 5	420 550 740	2 5 9
1	202408010109	馬単	6 → 1	1790	4
2	202408010109	三連複	1 - 5 - 6	2180	4
3	202408010109	三連単	6 → 1 → 5	11490	24
0	202407010203	単勝	7	240	1
1	202407010203	複勝	7 9 4	150 1,230 290	1 10 4
2	202407010203	枠連	4 - 5	3290	10
3	202407010203	馬連	7 - 9	7380	18
0	202407010203	ワイド	7 - 9 4 - 7 4 - 9	2,700 540 4,960	25 4 40
1	202407010203	馬単	7 → 9	10930	29
2	202407010203	三連複	4 - 7 - 9	16430	45
3	202407010203	三連単	7 → 9 → 4	91560	236
0	202404040602	単勝	8	220	1
1	202404040602	複勝	8 9 5	180 1,620 200	2 9 3
2	202404040602	枠連	8 - 8	9980	15
3	202404040602	馬連	8 - 9	7110	15
0	202404040602	ワイド	8 - 9 5 - 8 5 - 9	1,380 300 4,270	13 4 25
1	202404040602	馬単	8 → 9	7900	19
2	202404040602	三連複	5 - 8 - 9	10120	26
3	202404040602	三連単	8 → 9 → 5	48530	112
0	202408060607	単勝	14	190	1
1	202408060607	複勝	14 1 10	120 330 210	1 6 4
2	202408060607	枠連	1 - 8	1470	6
3	202408060607	馬連	1 - 14	1100	5
0	202408060607	ワイド	1 - 14 10 - 14 1 - 10	480 380 1,890	4 2 27
1	202408060607	馬単	14 → 1	1500	5
2	202408060607	三連複	1 - 10 - 14	3760	14
3	202408060607	三連単	14 → 1 → 10	11890	33
0	202405010308	単勝	13	630	3
1	202405010308	複勝	13 4 6	240 380 300	3 7 4
2	202405010308	枠連	2 - 7	3990	13
3	202405010308	馬連	4 - 13	5200	19
0	202405010308	ワイド	4 - 13 6 - 13 4 - 6	1,220 1,400 2,100	12 15 27
1	202405010308	馬単	13 → 4	7910	29
2	202405010308	三連複	4 - 6 - 13	17200	58
3	202405010308	三連単	13 → 4 → 6	85260	277
0	202410030508	単勝	13	720	4
1	202410030508	複勝	13 2 6	340 700 780	4 8 9
2	202410030508	枠連	2 - 8	7630	17
3	202410030508	馬連	2 - 13	9980	26
0	202410030508	ワイド	2 - 13 6 - 13 2 - 6	2,620 3,030 4,670	27 29 38
1	202410030508	馬単	13 → 2	15930	44
2	202410030508	三連複	2 - 6 - 13	61800	125
3	202410030508	三連単	13 → 2 → 6	255720	532
0	202406040709	単勝	7	440	2
1	202406040709	複勝	7 1 9	230 270 420	2 3 5
2	202406040709	枠連	1 - 5	1250	4
3	202406040709	馬連	1 - 7	1290	5
0	202406040709	ワイド	1 - 7 7 - 9 1 - 9	380 720 900	4 6 9
1	202406040709	馬単	7 → 1	2380	7
2	202406040709	三連複	1 - 7 - 9	5460	15
3	202406040709	三連単	7 → 1 → 9	21960	65
0	202407040408	単勝	2	2630	7
1	202407040408	複勝	2 3 8	520 340 310	6 5 4
2	202407040408	枠連	1 - 2	3800	17
3	202407040408	馬連	2 - 3	8820	29
0	202407040408	ワイド	2 - 3 2 - 8 3 - 8	2,090 1,480 1,750	26 17 22
1	202407040408	馬単	2 → 3	19720	63
2	202407040408	三連複	2 - 3 - 8	25070	80
3	202407040408	三連単	2 → 3 → 8	183300	524
0	202405050704	単勝	16	180	1
1	202405050704	複勝	16 13 8	130 530 550	1 8 9
2	202405050704	枠連	7 - 8	720	2
3	202405050704	馬連	13 - 16	2290	9
0	202405050704	ワイド	13 - 16 8 - 16 8 - 13	880 740 4,500	10 8 38
1	202405050704	馬単	16 → 13	3140	12
2	202405050704	三連複	8 - 13 - 16	9870	35
3	202405050704	三連単	16 → 13 → 8	34160	108
0	202405040503	単勝	7	710	3
1	202405040503	複勝	7 5	320 440	3 4
2	202405040503	馬連	5 - 7	3840	9
0	202405040503	ワイド	5 - 7 4 - 7 4 - 5	650 220 300	9 2 4
1	202405040503	馬単	7 → 5	7300	18
2	202405040503	三連複	4 - 5 - 7	1700	6
3	202405040503	三連単	7 → 5 → 4	18190	54
0	202405050710	単勝	16	300	1
1	202405050710	複勝	16 12 6	150 220 1,650	1 3 13
2	202405050710	枠連	6 - 8	1050	3
3	202405050710	馬連	12 - 16	950	1
0	202405050710	ワイド	12 - 16 6 - 16 6 - 12	400 5,590 9,590	1 48 56
1	202405050710	馬単	16 → 12	1520	1
2	202405050710	三連複	6 - 12 - 16	26390	92
3	202405050710	三連単	16 → 12 → 6	62660	233
0	202406010102	単勝	12	730	3
1	202406010102	複勝	12 7 11	270 890 350	4 8 5
2	202406010102	枠連	4 - 6	5130	16
3	202406010102	馬連	7 - 12	11190	22
0	202406010102	ワイド	7 - 12 11 - 12 7 - 11	1,890 1,130 4,380	18 11 31
1	202406010102	馬単	12 → 7	15690	39
2	202406010102	三連複	7 - 11 - 12	24780	54
3	202406010102	三連単	12 → 7 → 11	130760	272
0	202407020303	単勝	11	1810	5
1	202407020303	複勝	11 8 6	310 130 450	5 2 6
2	202407020303	枠連	7 - 8	870	2
3	202407020303	馬連	8 - 11	1850	7
0	202407020303	ワイド	8 - 11 6 - 11 6 - 8	620 2,350 770	7 20 9
1	202407020303	馬単	11 → 8	5770	18
2	202407020303	三連複	6 - 8 - 11	7690	20
3	202407020303	三連単	11 → 8 → 6	54360	136
0	202406040906	単勝	11	510	3
1	202406040906	複勝	11 16 14	130 130 120	2 3 1
2	202406040906	枠連	6 - 8	730	4
3	202406040906	馬連	11 - 16	920	3
0	202406040906	ワイド	11 - 16 11 - 14 14 - 16	310 300 270	3 2 1
1	202406040906	馬単	11 → 16	2010	6
2	202406040906	三連複	11 - 14 - 16	910	1
3	202406040906	三連単	11 → 16 → 14	6850	13
0	202407030110	単勝	3	690	4
1	202407030110	複勝	3 15 16	220 270 200	4 7 1
2	202407030110	枠連	2 - 8	550	1
3	202407030110	馬連	3 - 15	3240	22
0	202407030110	ワイド	3 - 15 3 - 16 15 - 16	980 1,080 1,030	11 18 16
1	202407030110	馬単	3 → 15	6150	35
2	202407030110	三連複	3 - 15 - 16	6400	21
3	202407030110	三連単	3 → 15 → 16	37740	125
0	202408050707	単勝	8	530	3
1	202408050707	複勝	8 3 4	180 190 120	4 5 1
2	202408050707	枠連	3 - 7	1990	12
3	202408050707	馬連	3 - 8	2280	11
0	202408050707	ワイド	3 - 8 4 - 8 3 - 4	710 370 410	11 3 4
1	202408050707	馬単	8 → 3	3930	20
2	202408050707	三連複	3 - 4 - 8	1910	6
3	202408050707	三連単	8 → 3 → 4	13170	46
0	202405021102	単勝	8	120	1
1	202405021102	複勝	8 1 7	100 100 120	1 2 3
2	202405021102	枠連	1 - 8	200	1
3	202405021102	馬連	1 - 8	200	1
0	202405021102	ワイド	1 - 8 7 - 8 1 - 7	120 170 290	1 3 4
1	202405021102	馬単	8 → 1	270	1
2	202405021102	三連複	1 - 7 - 8	340	1
3	202405021102	三連単	8 → 1 → 7	680	1
0	202405020208	単勝	9	420	2
1	202405020208	複勝	9 7 3	130 250 110	2 7 1
2	202405020208	枠連	7 - 8	1150	4
3	202405020208	馬連	7 - 9	3780	12
0	202405020208	ワイド	7 - 9 3 - 9 3 - 7	800 170 540	12 1 8
1	202405020208	馬単	9 → 7	7040	23
2	202405020208	三連複	3 - 7 - 9	1720	6
3	202405020208	三連単	9 → 7 → 3	16740	55
0	202408060808	単勝	12	290	1
1	202408060808	複勝	12 6 10	170 360 440	2 5 8
2	202408060808	枠連	3 - 6	1180	5
3	202408060808	馬連	6 - 12	2150	6
0	202408060808	ワイド	6 - 12 10 - 12 6 - 10	910 1,280 3,600	6 13 40
1	202408060808	馬単	12 → 6	3180	7
2	202408060808	三連複	6 - 10 - 12	14600	41
3	202408060808	三連単	12 → 6 → 10	50610	134
0	202406040912	単勝	10	290	1
1	202406040912	複勝	10 8 12	130 130 190	1 2 3
2	202406040912	枠連	4 - 5	330	1
3	202406040912	馬連	8 - 10	400	1
0	202406040912	ワイド	8 - 10 10 - 12 8 - 12	210 450 460	1 2 4
1	202406040912	馬単	10 → 8	750	1
2	202406040912	三連複	8 - 10 - 12	1180	1
3	202406040912	三連単	10 → 8 → 12	3750	2
0	202407030104	単勝	7	500	3
1	202407030104	複勝	7 2 4	130 180 110	2 4 1
